"SN","EXPT","LOCATION","YEAR","PLOT","ROW","COLUMN","CHECKS","BLOCK","ENTRY","TREATMENT","REP","UNIQUE_ID","Florescimento Inicial","Florescimento Final"
"17","Flax2024","FLORIANÓPOLIS","2024","1017","2","4","0","2","42","G64","2","2d687e5f-13cf-11ef-8000-65ced3b81073","2024-09-24",
"18","Flax2024","FLORIANÓPOLIS","2024","1018","2","3","0","2","7","G195","2","2d687e72-13cf-11ef-8000-65ced3b81073","2024-10-01",
"19","Flax2024","FLORIANÓPOLIS","2024","1019","2","2","0","2","23","G13","2","2d687e7c-13cf-11ef-8000-65ced3b81073","2024-09-24",
"20","Flax2024","FLORIANÓPOLIS","2024","1020","2","1","0","2","17","G75","2","2d687e86-13cf-11ef-8000-65ced3b81073","2024-09-24",
"21","Flax2024","FLORIANÓPOLIS","2024","1021","3","1","0","3","27","G215","3","2d687e90-13cf-11ef-8000-65ced3b81073","2024-09-24",
"22","Flax2024","FLORIANÓPOLIS","2024","1022","3","2","0","3","4","G108M","3","2d687eae-13cf-11ef-8000-65ced3b81073","2024-10-08",
"23","Flax2024","FLORIANÓPOLIS","2024","1023","3","3","1","3","1","ST_PIONEIRA","3","2d687ec2-13cf-11ef-8000-65ced3b81073","2024-10-08",
"24","Flax2024","FLORIANÓPOLIS","2024","1024","3","4","0","3","41","G63","3","2d687ecc-13cf-11ef-8000-65ced3b81073","2024-10-29",
"25","Flax2024","FLORIANÓPOLIS","2024","1025","3","5","0","3","36","G4","3","2d687ecd-13cf-11ef-8000-65ced3b81073","2024-09-24",
"26","Flax2024","FLORIANÓPOLIS","2024","1026","3","6","0","3","3","G108D","3","2d687ee0-13cf-11ef-8000-65ced3b81073","2024-10-22",
"27","Flax2024","FLORIANÓPOLIS","2024","1027","3","7","0","3","13","G56","3","2d687eea-13cf-11ef-8000-65ced3b81073","2024-10-01",
"28","Flax2024","FLORIANÓPOLIS","2024","1028","3","8","0","3","33","G228","3","2d687ef4-13cf-11ef-8000-65ced3b81073","2024-10-22",
"29","Flax2024","FLORIANÓPOLIS","2024","1029","3","9","0","3","44","G72","3","2d687efe-13cf-11ef-8000-65ced3b81073","2024-09-24",
"30","Flax2024","FLORIANÓPOLIS","2024","1030","3","10","0","3","31","G224","3","2d687f1c-13cf-11ef-8000-65ced3b81073","2024-09-10",
"31","Flax2024","FLORIANÓPOLIS","2024","1031","4","10","1","4","1","ST_PIONEIRA","4","2d687f26-13cf-11ef-8000-65ced3b81073",,
"32","Flax2024","FLORIANÓPOLIS","2024","1032","4","9","0","4","39","G51M","4","2d687f3a-13cf-11ef-8000-65ced3b81073",,
"33","Flax2024","FLORIANÓPOLIS","2024","1033","4","8","0","4","26","G205","4","2d687f44-13cf-11ef-8000-65ced3b81073","2024-10-29",
"34","Flax2024","FLORIANÓPOLIS","2024","1034","4","7","0","4","38","G51D","4","2d687f4e-13cf-11ef-8000-65ced3b81073","2024-09-24",
"35","Flax2024","FLORIANÓPOLIS","2024","1035","4","6","0","4","37","G48","4","2d687f58-13cf-11ef-8000-65ced3b81073","2024-10-29",
"36","Flax2024","FLORIANÓPOLIS","2024","1036","4","5","0","4","11","G5","4","2d687f62-13cf-11ef-8000-65ced3b81073","2024-09-24",
"37","Flax2024","FLORIANÓPOLIS","2024","1037","4","4","0","4","16","G70","4","2d687f80-13cf-11ef-8000-65ced3b81073","2024-09-24",
"38","Flax2024","FLORIANÓPOLIS","2024","1038","4","3","0","4","8","G23","4","2d687f94-13cf-11ef-8000-65ced3b81073","2024-09-24",
"39","Flax2024","FLORIANÓPOLIS","2024","1039","4","2","0","4","10","G43","4","2d687f9e-13cf-11ef-8000-65ced3b81073","2024-09-24",
"40","Flax2024","FLORIANÓPOLIS","2024","1040","4","1","0","4","6","G148","4","2d687f9f-13cf-11ef-8000-65ced3b81073","2024-09-08",
"41","Flax2024","FLORIANÓPOLIS","2024","1041","5","1","0","5","22","G12","5","2d687fa8-13cf-11ef-8000-65ced3b81073","2024-09-08",
"42","Flax2024","FLORIANÓPOLIS","2024","1042","5","2","0","5","19","G93","5","2d687fb2-13cf-11ef-8000-65ced3b81073","2024-09-10",
"43","Flax2024","FLORIANÓPOLIS","2024","1043","5","3","0","5","15","G69D","5","2d687fbc-13cf-11ef-8000-65ced3b81073","2024-10-01",
"44","Flax2024","FLORIANÓPOLIS","2024","1044","5","4","0","5","35","G29","5","2d687fda-13cf-11ef-8000-65ced3b81073",,
"45","Flax2024","FLORIANÓPOLIS","2024","1045","5","5","0","5","24","G141","5","2d687fe4-13cf-11ef-8000-65ced3b81073",,
"46","Flax2024","FLORIANÓPOLIS","2024","1046","5","6","0","5","5","G145","5","2d687fee-13cf-11ef-8000-65ced3b81073","2024-10-29",
"47","Flax2024","FLORIANÓPOLIS","2024","1047","5","7","0","5","40","G54","5","2d688002-13cf-11ef-8000-65ced3b81073","2024-10-08",
"48","Flax2024","FLORIANÓPOLIS","2024","1048","5","8","0","5","34","G28","5","2d688003-13cf-11ef-8000-65ced3b81073","2024-10-29",
"49","Flax2024","FLORIANÓPOLIS","2024","1049","5","9","1","5","1","ST_PIONEIRA","5","2d688016-13cf-11ef-8000-65ced3b81073","2024-10-29",
"50","Flax2024","FLORIANÓPOLIS","2024","1050","5","10","0","5","2","G1","5","2d688017-13cf-11ef-8000-65ced3b81073","2024-09-17",
"51","Flax2024"," CAMPOS NOVOS","2024","2001","1","1","0","1","37","G48","1","2d688020-13cf-11ef-8000-65ced3b81073",,
"52","Flax2024"," CAMPOS NOVOS","2024","2002","1","2","0","1","14","G69M","1","2d68802a-13cf-11ef-8000-65ced3b81073",,
"53","Flax2024"," CAMPOS NOVOS","2024","2003","1","3","0","1","36","G4","1","2d68802b-13cf-11ef-8000-65ced3b81073",,
"54","Flax2024"," CAMPOS NOVOS","2024","2004","1","4","0","1","45","G74","1","2d688034-13cf-11ef-8000-65ced3b81073",,
"55","Flax2024"," CAMPOS NOVOS","2024","2005","1","5","0","1","22","G12","1","2d68803e-13cf-11ef-8000-65ced3b81073",,
"56","Flax2024"," CAMPOS NOVOS","2024","2006","1","6","0","1","26","G205","1","2d68803f-13cf-11ef-8000-65ced3b81073",,
"57","Flax2024"," CAMPOS NOVOS","2024","2007","1","7","0","1","39","G51M","1","2d688048-13cf-11ef-8000-65ced3b81073",,
"58","Flax2024"," CAMPOS NOVOS","2024","2008","1","8","0","1","8","G23","1","2d688052-13cf-11ef-8000-65ced3b81073",,
"59","Flax2024"," CAMPOS NOVOS","2024","2009","1","9","1","1","1","ST_PIONEIRA","1","2d68805c-13cf-11ef-8000-65ced3b81073",,
"60","Flax2024"," CAMPOS NOVOS","2024","2010","1","10","0","1","24","G141","1","2d68805d-13cf-11ef-8000-65ced3b81073",,
"61","Flax2024"," CAMPOS NOVOS","2024","2011","2","10","0","2","28","G216","2","2d688066-13cf-11ef-8000-65ced3b81073",,
"62","Flax2024"," CAMPOS NOVOS","2024","2012","2","9","0","2","9","G37","2","2d688070-13cf-11ef-8000-65ced3b81073",,
"63","Flax2024"," CAMPOS NOVOS","2024","2013","2","8","0","2","19","G93","2","2d68807a-13cf-11ef-8000-65ced3b81073",,
"64","Flax2024"," CAMPOS NOVOS","2024","2014","2","7","0","2","5","G145","2","2d68807b-13cf-11ef-8000-65ced3b81073",,
"65","Flax2024"," CAMPOS NOVOS","2024","2015","2","6","1","2","1","ST_PIONEIRA","2","2d68808e-13cf-11ef-8000-65ced3b81073",,
"66","Flax2024"," CAMPOS NOVOS","2024","2016","2","5","0","2","23","G13","2","2d6880a2-13cf-11ef-8000-65ced3b81073",,
"67","Flax2024"," CAMPOS NOVOS","2024","2017","2","4","0","2","40","G54","2","2d6880ac-13cf-11ef-8000-65ced3b81073",,
"68","Flax2024"," CAMPOS NOVOS","2024","2018","2","3","0","2","27","G215","2","2d6880b6-13cf-11ef-8000-65ced3b81073",,
"69","Flax2024"," CAMPOS NOVOS","2024","2019","2","2","0","2","46","G84","2","2d6880c0-13cf-11ef-8000-65ced3b81073",,
"70","Flax2024"," CAMPOS NOVOS","2024","2020","2","1","0","2","34","G28","2","2d6880c1-13cf-11ef-8000-65ced3b81073",,
"71","Flax2024"," CAMPOS NOVOS","2024","2021","3","1","0","3","18","G88","3","2d6880ca-13cf-11ef-8000-65ced3b81073",,
"72","Flax2024"," CAMPOS NOVOS","2024","2022","3","2","0","3","4","G108M","3","2d6880de-13cf-11ef-8000-65ced3b81073",,
"73","Flax2024"," CAMPOS NOVOS","2024","2023","3","3","0","3","2","G1","3","2d6880fc-13cf-11ef-8000-65ced3b81073",,
"74","Flax2024"," CAMPOS NOVOS","2024","2024","3","4","0","3","42","G64","3","2d688106-13cf-11ef-8000-65ced3b81073",,
"75","Flax2024"," CAMPOS NOVOS","2024","2025","3","5","0","3","44","G72","3","2d68811a-13cf-11ef-8000-65ced3b81073",,
"76","Flax2024"," CAMPOS NOVOS","2024","2026","3","6","0","3","3","G108D","3","2d688124-13cf-11ef-8000-65ced3b81073",,
"77","Flax2024"," CAMPOS NOVOS","2024","2027","3","7","0","3","38","G51D","3","2d68812e-13cf-11ef-8000-65ced3b81073",,
"78","Flax2024"," CAMPOS NOVOS","2024","2028","3","8","1","3","1","ST_PIONEIRA","3","2d688138-13cf-11ef-8000-65ced3b81073",,
"79","Flax2024"," CAMPOS NOVOS","2024","2029","3","9","0","3","6","G148","3","2d688142-13cf-11ef-8000-65ced3b81073",,
"80","Flax2024"," CAMPOS NOVOS","2024","2030","3","10","0","3","35","G29","3","2d68814c-13cf-11ef-8000-65ced3b81073",,
"81","Flax2024"," CAMPOS NOVOS","2024","2031","4","10","0","4","30","G223","4","2d688156-13cf-11ef-8000-65ced3b81073",,
"82","Flax2024"," CAMPOS NOVOS","2024","2032","4","9","0","4","15","G69D","4","2d688160-13cf-11ef-8000-65ced3b81073",,
"83","Flax2024"," CAMPOS NOVOS","2024","2033","4","8","0","4","33","G228","4","2d68816a-13cf-11ef-8000-65ced3b81073",,
"84","Flax2024"," CAMPOS NOVOS","2024","2034","4","7","0","4","7","G195","4","2d688174-13cf-11ef-8000-65ced3b81073",,
"85","Flax2024"," CAMPOS NOVOS","2024","2035","4","6","0","4","21","G11","4","2d68817e-13cf-11ef-8000-65ced3b81073",,
"86","Flax2024"," CAMPOS NOVOS","2024","2036","4","5","1","4","1","ST_PIONEIRA","4","2d68819c-13cf-11ef-8000-65ced3b81073",,
"87","Flax2024"," CAMPOS NOVOS","2024","2037","4","4","0","4","32","G226","4","2d6881a6-13cf-11ef-8000-65ced3b81073",,
"88","Flax2024"," CAMPOS NOVOS","2024","2038","4","3","0","4","43","G71M","4","2d6881a7-13cf-11ef-8000-65ced3b81073",,
"89","Flax2024"," CAMPOS NOVOS","2024","2039","4","2","0","4","31","G224","4","2d6881b0-13cf-11ef-8000-65ced3b81073",,
"90","Flax2024"," CAMPOS NOVOS","2024","2040","4","1","0","4","13","G56","4","2d6881ba-13cf-11ef-8000-65ced3b81073",,
"91","Flax2024"," CAMPOS NOVOS","2024","2041","5","1","0","5","16","G70","5","2d6881c4-13cf-11ef-8000-65ced3b81073",,
"92","Flax2024"," CAMPOS NOVOS","2024","2042","5","2","0","5","29","G218","5","2d6881ce-13cf-11ef-8000-65ced3b81073",,
"93","Flax2024"," CAMPOS NOVOS","2024","2043","5","3","0","5","11","G5","5","2d6881d8-13cf-11ef-8000-65ced3b81073",,
"94","Flax2024"," CAMPOS NOVOS","2024","2044","5","4","0","5","25","G2","5","2d6881f6-13cf-11ef-8000-65ced3b81073",,
"95","Flax2024"," CAMPOS NOVOS","2024","2045","5","5","0","5","41","G63","5","2d688200-13cf-11ef-8000-65ced3b81073",,
"96","Flax2024"," CAMPOS NOVOS","2024","2046","5","6","0","5","17","G75","5","2d68820a-13cf-11ef-8000-65ced3b81073",,
"97","Flax2024"," CAMPOS NOVOS","2024","2047","5","7","0","5","20","G104","5","2d68821e-13cf-11ef-8000-65ced3b81073",,
"98","Flax2024"," CAMPOS NOVOS","2024","2048","5","8","1","5","1","ST_PIONEIRA","5","2d688228-13cf-11ef-8000-65ced3b81073",,
"99","Flax2024"," CAMPOS NOVOS","2024","2049","5","9","0","5","10","G43","5","2d688232-13cf-11ef-8000-65ced3b81073",,
"100","Flax2024"," CAMPOS NOVOS","2024","2050","5","10","0","5","12","G55D","5","2d68823c-13cf-11ef-8000-65ced3b81073",,
